crid,incident_date,beat_2012_geocoded,complaintcategory,finalfinding,officer_id
1027520,21-Jun-2009  0:00,0612,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,863
1027520,21-Jun-2009  0:00,0612,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,864
1027529,21-Jun-2009  23:30,,05A-ARRESTEE - DURING ARREST,NAF,865
1027529,21-Jun-2009  23:30,,05A-ARRESTEE - DURING ARREST,NAF,54
1027529,21-Jun-2009  23:30,,05A-ARRESTEE - DURING ARREST,NAF,866
1027531,21-Jun-2009  19:00,2232,05A-ARRESTEE - DURING ARREST,UN,867
1027531,21-Jun-2009  19:00,2232,05A-ARRESTEE - DURING ARREST,UN,665
1027531,21-Jun-2009  19:00,2232,05A-ARRESTEE - DURING ARREST,UN,138
1027538,21-Jun-2009  21:45,2031,05A-ARRESTEE - DURING ARREST,EX,868
1027538,21-Jun-2009  21:45,2031,05A-ARRESTEE - DURING ARREST,EX,869
1027542,22-Jun-2009  12:15,0726,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,619
1027542,22-Jun-2009  12:15,0726,03B-SEARCH OF PERSON WITHOUT WARRANT,NAF,166
1027553,22-Jun-2009  17:55,1821,05L-UNNECESSARY PHYSICAL CONTACT - ON DUTY,NS,584
1027588,23-Jun-2009  0:00,1133,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",EX,870
1027588,23-Jun-2009  0:00,1133,"05B-ARRESTEE - AFTER ARREST, PRIOR TO LOCKUP",NS,871
1027588,23-Jun-2009  0:00,1133,05M-UNNECESSARY PHYSICAL CONTACT - OFF DUTY,NS,872
1027590,23-Jun-2009  0:00,2514,05N-WEAPON - UNNECESSARY DISPLAY OF,NS,293
1027597,23-Jun-2009  0:00,1123,10T-REPORTS - FAILED TO SUBMIT/IMPROPER,NAF,402
1027597,23-Jun-2009  0:00,1123,10T-REPORTS - FAILED TO SUBMIT/IMPROPER,NAF,765
1027597,23-Jun-2009  0:00,1123,10T-REPORTS - FAILED TO SUBMIT/IMPROPER,NAF,363
1027609,07-May-2009  14:00,2514,03D-ILLEGAL ARREST,EX,873
1027665,25-Jun-2009  9:45,,03D-ILLEGAL ARREST,NA,874
1027665,25-Jun-2009  9:45,,03D-ILLEGAL ARREST,NAF,875
1027665,25-Jun-2009  9:45,,03D-ILLEGAL ARREST,NA,876
1027665,25-Jun-2009  9:45,,03D-ILLEGAL ARREST,NA,877
1027679,26-Jun-2009  0:00,2422,05A-ARRESTEE - DURING ARREST,NAF,878
1027679,26-Jun-2009  0:00,2422,05A-ARRESTEE - DURING ARREST,NAF,879
1027684,26-Jun-2009  17:45,0414,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,880
1027684,26-Jun-2009  17:45,0414,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,881
1027684,26-Jun-2009  17:45,0414,10U-INADEQUATE/FAILURE TO PROVIDE SERVICE,NAF,539
1027690,26-Jun-2009  18:15,0713,10Z-MISCELLANEOUS,NAF,882
1027696,27-Jun-2009  5:00,1414,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,883
1027696,27-Jun-2009  5:00,1414,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,UN,884
1027696,27-Jun-2009  5:00,1414,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,SU,885
1027696,27-Jun-2009  5:00,1414,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NS,886
1027696,27-Jun-2009  5:00,1414,10J-NEGLECT OF DUTY/CONDUCT UNBECOMING - ON DUTY,NA,887
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,268
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,888
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,889
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,890
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,891
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,892
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,893
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,894
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,895
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,896
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,897
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,898
1027698,26-Jun-2009  0:00,,03C-SEARCH OF PREMISE/VEHICLE WITHOUT WARRANT,NS,899
